"ID","Name","Glottocode","Glottolog_Name","ISO639P3code","Macroarea","Latitude","Longitude","Family","Label","Project","ProjectFile","ProjectName","EntryDate","Comment","Link","Set","Clade_EF","No..lgs","Representative.languages","Clade_BP2017","No..lgs.1","No..lgs.2","old_name"
"p_kemtuikkemt1242","Kemtuik","kemt1242","Kemtuik","","Papunesia",-2.64894,140.372,"Nimboranic","Kemtuik_kemt1242","parabank","",NA,NA,"","","","Nimboran",5,"Nimboran","Nimboran","5",5,""
"p_ketengbankete1254","Ketengban","kete1254","Ketengban","","Papunesia",-4.50417,140.443,"Nuclear Trans New Guinea","Ketengban_kete1254","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_kilmerikilm1241","Kilmeri","kilm1241","Kilmeri","","Papunesia",-2.88607,141.191,"Border","Kilmeri_kilm1241","parabank","",NA,NA,"","","","Border",14,"Imonda, Kilmeri","Border","14",14,""
"p_kimaamakima1246","Kimaama","kima1246","Kimaama","","Papunesia",-8.01899,138.355,"Kolopom","Kimaama_kima1246","parabank","",NA,NA,"","","","(TNG; Kolopom)",NA,"Riantana","(TNG; Kolopom)","3",3,""
"p_southernkiwaisout2949","Southern Kiwai","sout2949","Southern Kiwai","","Papunesia",-8.64889,143.244,"Kiwaian","Kiwaian_sout2949","parabank","",NA,NA,"","","","(TNG; Kiwaian)",NA,"Kiwai","(TNG; Kiwaian)","",6,""
"p_klonkelo1247","Klon","kelo1247","Klon","","Papunesia",-8.40688,124.429,"Timor-Alor-Pantar","Klon_kelo1247","parabank","",NA,NA,"","","","Timor-Alor-Pantar",25,"Abui, Teiwa, Bunaq","Timor-Alor-Pantar","25",25,""
"p_grasskoiarigras1249","Grass Koiari","gras1249","Grass Koiari","","Papunesia",-9.51218,147.437,"Koiarian","Koiari_gras1249","parabank","",NA,NA,"","","","(TNG; Koiarian)",NA,"Koiari","(TNG; Koiarian)","",7,""
"p_kombaikomb1274","Kombai","komb1274","Kombai","","Papunesia",-5.54543,139.902,"Nuclear Trans New Guinea","Kombai_komb1274","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_westerndaniwest2594","Western Dani","west2594","Western Dani","","Papunesia",-3.77127,138.217,"Nuclear Trans New Guinea","Konda_(Western_Dani)_west2594","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_korowaikoro1312","Korowai","koro1312","Korowai","","Papunesia",-5.26952,140.047,"Nuclear Trans New Guinea","Korowai_koro1312","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_kumankuma1280","Kuman","kuma1280","Kuman","","Papunesia",-5.90586,144.977,"Nuclear Trans New Guinea","Kuman_kuma1280","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_kunimaipakuni1267","Kunimaipa","kuni1267","Kunimaipa","","Papunesia",-8.09371,146.908,"Goilalan","Kunimaipa_kuni1267","parabank","",NA,NA,"","","","(TNG; Goilalan)",NA,NA,NA,NA,NA,NA
"p_boungboun1245","Bo-Ung","boun1245","Bo-Ung","","Papunesia",-5.8626,144.086,"Nuclear Trans New Guinea","Ku_Waru_boun1245","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_lolodalabalolo1264","Loloda-Laba","lolo1264","Loloda-Laba","","Papunesia",1.95461,127.772,"North Halmahera","Loloda-Laba_(Loda)_lolo1264","parabank","",NA,NA,"","","","North Halmahera",10,"Tidore","North Halmahera","10",10,""
"p_modolemodo1249","Modole","modo1249","Modole","","Papunesia",1.40199,127.752,"North Halmahera","Madole_modo1249","parabank","",NA,NA,"","","","North Halmahera",10,"Tidore","North Halmahera","10",10,""
"p_mairasinucl1594","Mairasi","nucl1594","Mairasi","","Papunesia",-3.4511,134.071,"Mairasic","Mairasi_nucl1594","parabank","",NA,NA,"","","","Mairasi",3,"Mairasi","Mairasi","3",3,""
"p_maybratkaronmaib1239","Maybrat-Karon","maib1239","Maybrat-Karon","","Papunesia",-1.3679,132.591,"Maybrat-Karon","Maybrat_maib1239","parabank","",NA,NA,"","","","Maybrat",NA,NA,NA,NA,NA,NA
"p_mianimian1254","Miani","mian1254","Miani","","Papunesia",-4.42116,145.276,"Nuclear Trans New Guinea","Miani_mian1254","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_momufasfass1245","Momu-Fas","fass1245","Momu-Fas","","Papunesia",-3.10868,141.64,"Baibai-Fas","Momu-Fas_fass1245","parabank","",NA,NA,"","","","Baibai-Fas",2,"Momu","(Kwomtari; Baibai-Fas)","",2,""
"p_monimoni1261","Moni","moni1261","Moni","","Papunesia",-3.72962,136.886,"Nuclear Trans New Guinea","Moni_moni1261","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_monumbonucl1458","Monumbo","nucl1458","Monumbo","","Papunesia",-4.2717,144.95,"Bogia","Monumbo_nucl1458","parabank","",NA,NA,"","","","Bogia",1,"Bogia","(Torricelli; Bogia)","50",1,""
"p_sibesibe1248","Sibe","sibe1248","Sibe (Nasioi)","","Papunesia",-6.43149,155.412,"South Bougainville","Nagovisi_sibe1248","parabank","",NA,NA,"","","","South Bougainville",4,"Uisai, Nagovisi","South Bougainville","4",4,""
"p_naasioinaas1242","Naasioi","naas1242","Naasioi","","Papunesia",-6.46022,155.632,"South Bougainville","Nasioi_naas1242","parabank","",NA,NA,"","","","South Bougainville",4,"Uisai, Nagovisi","South Bougainville","4",4,""
"p_yagwoiayagw1240","Yagwoia","yagw1240","Yagwoia","","Papunesia",-7.14042,145.854,"Angan","Negwa_(Yagwoia)_yagw1240","parabank","",NA,NA,"","","","(TNG; Angan)",13,"Menya","(TNG; Angan)","13",13,""
"p_nimborannucl1633","Nimboran","nucl1633","Nimboran","","Papunesia",-2.5803,140.179,"Nimboranic","Nimboran_nucl1633","parabank","",NA,NA,"","","","Nimboran",5,"Nimboran","Nimboran","5",5,""
"p_northmuyunort2916","North Muyu","nort2916","North Muyu","","Papunesia",-5.55319,140.84,"Nuclear Trans New Guinea","NorthMuyu_nort2916","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_yauyaum1237","Yau (Morobe Province)","yaum1237","Yau-Nungon","","Papunesia",-6.08274,146.841,"Nuclear Trans New Guinea","Nungon_yaum1237","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_onobasuluonob1238","Onobasulu","onob1238","Onobasulu","","Papunesia",-6.30876,142.776,"Bosavi","Onobasulu_onob1238","parabank","",NA,NA,"","","","Bosavi",7,"Kaluli","^(TNG; Koiarian)","",7,""
"p_sogeramsoge1235","Sogeram","soge1235","Sogeram","","",-5.08,144.81,"Nuclear Trans New Guinea","Proto_Sogeram_soge1235","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_savosavosavo1255","Savosavo","savo1255","Savosavo","","Papunesia",-9.12853,159.814,"Savosavo","Savosavo_savo1255","parabank","",NA,NA,"","","","Savosavo",1,"Savosavo","(Central Solomons, Savosavo)","4",1,""
"p_sawisawi1257","Sawi","sawi1257","Sawi","","Papunesia",-5.99286,138.643,"Nuclear Trans New Guinea","Sawi_sawi1257","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_setamanseta1246","Setaman","seta1246","Setaman","","Papunesia",-5.31134,141.833,"Nuclear Trans New Guinea","Setaman_Baktamin_seta1246","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_siwaisiwa1245","Siwai","siwa1245","Siwai","","Papunesia",-6.6429,155.452,"South Bougainville","Siwai_Motuna_siwa1245","parabank","",NA,NA,"","","","South Bougainville",4,"Uisai, Nagovisi","South Bougainville","4",4,""
"p_tablatabl1243","Tabla","tabl1243","Tabla","","Papunesia",-2.45368,140.396,"Sentanic","Tabla_tabl1243","parabank","",NA,NA,"","","","Sentani",4,"Sentani","Sentani","4",4,""
"p_taiaptaia1239","Taiap","taia1239","Taiap","","Papunesia",-4.05047,144.506,"Taiap","Taiap_taia1239","parabank","",NA,NA,"","","","Tayap",1,"Tayap","Tayap","1",1,""
"p_telefoltele1256","Telefol","tele1256","Telefol","","Papunesia",-5.07444,141.731,"Nuclear Trans New Guinea","Telefol_tele1256","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_touotouo1238","Touo","touo1238","Touo","","Papunesia",-8.58405,157.296,"Touo","Touo_touo1238","parabank","",NA,NA,"","","","Touo",1,"Touo","Central Solomons","4",1,""
"p_umbuunguumbu1258","Umbu-Ungu","umbu1258","Umbu-Ungu","","Papunesia",-5.9513,143.97,"Nuclear Trans New Guinea","Umbu-Ungu_umbu1258","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_usarufausar1243","Usarufa","usar1243","Usarufa","","Papunesia",-6.38898,145.633,"Nuclear Trans New Guinea","Usurufa_usar1243","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_waffawaff1241","Waffa","waff1241","Waffa","","Papunesia",-6.55783,146.09,"Nuclear Trans New Guinea","Waffa_waff1241","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_watamwata1253","Watam","wata1253","Watam","","Papunesia",-4.02591,144.583,"Lower Sepik-Ramu","Watam_wata1253","parabank","",NA,NA,"","","","Lower Sepik-Ramu",30,"Yimas, Watam","Lower Sepik-Ramu","35",30,""
"p_kosarekyalekosa1249","Kosarek Yale","kosa1249","Kosarek Yale","","Papunesia",-4.06603,139.645,"Nuclear Trans New Guinea","Yale_kosa1249","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_yalicyali1257","Yalic","yali1257","Yalic","","",-3.76869,139.26,"Nuclear Trans New Guinea","Yalic_yali1257","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
